ticker,entry_date,exit_date,entry_price,exit_price,holding_days,trade_return
BAC,2017-01-20,2017-01-25,22.64,23.37,4,0.03728362183754985
GOOG,2017-01-20,2017-01-24,805.02,823.87,3,0.027045220805933967
GOOGL,2017-01-20,2017-01-24,828.17,849.53,3,0.030520276089620157
C,2017-01-27,2017-02-06,57.11,57.64,7,0.004881450488144923
BAC,2017-01-31,2017-02-15,22.64,24.58,12,0.07102396514161224
GOOG,2017-02-01,2017-03-14,795.695,845.62,29,0.06128339964105867
GOOGL,2017-02-01,2017-03-21,815.24,850.14,34,0.036515929235908295
MSFT,2017-02-06,2017-03-17,63.64,64.87,29,0.018687185929648242
AMZN,2017-02-07,2017-07-27,812.5,1046.0,119,0.29513149423010354
JPM,2017-02-07,2017-02-13,86.72,88.15,5,0.01590411432522787
BAC,2017-02-17,2017-02-27,24.52,24.57,6,-0.00040683482506098656
FB,2017-02-24,2017-03-08,135.44,137.72,9,0.017434988179669153
NFLX,2017-02-24,2017-04-18,143.25,143.36,37,0.004062193584535745
JPM,2017-02-27,2017-04-11,90.43,85.73,32,-0.05092438835381319
BAC,2017-03-03,2017-03-13,25.44,25.3,7,0.002774474831549467
C,2017-03-03,2017-04-17,61.0,58.99,31,-0.027049315520369377
BAC,2017-03-20,2017-04-10,24.44,23.02,16,-0.07401448109412756
MSFT,2017-03-22,2017-04-19,65.03,65.04,20,0.012926335461765914
GOOG,2017-03-23,2017-07-18,817.58,965.4,81,0.16370737352186127
GOOGL,2017-03-23,2017-07-18,839.65,986.95,81,0.16139091550953077
FB,2017-04-07,2017-05-04,140.78,150.85,19,0.0685698094495999
AAPL,2017-04-12,2017-05-03,141.8,147.06,15,0.03833933488667629
NFLX,2017-04-20,2017-05-09,141.18,157.46,14,0.12664567830566753
AAPL,2017-05-05,2017-05-16,148.96,155.47,8,0.061011396983552846
MSFT,2017-05-12,2017-06-16,68.38,70.0,25,0.022494887525561724
NFLX,2017-05-12,2017-07-05,160.81,147.61,37,-0.06894159202724848
AAPL,2017-05-18,2017-06-29,152.54,143.68,30,-0.043727121464226415
FB,2017-05-18,2017-07-26,147.66,165.61,48,0.14332067656196035
C,2017-05-22,2018-02-07,61.06,74.99,181,0.22733224222585702
XOM,2017-05-23,2017-06-02,82.58,79.5,8,-0.0339044841414512
MSFT,2017-06-20,2017-07-20,69.91,74.22,22,0.04726964865246219
JPM,2017-06-29,2017-06-29,91.15,91.15,1,0.014807392562903754
BAC,2017-07-03,2017-09-01,24.68,24.09,44,-0.007007419620774447
XOM,2017-07-07,2017-07-10,80.22,80.16,2,0.0004992511233148367
JPM,2017-07-17,2017-09-08,91.39,88.42,39,-0.041517615176152156
MSFT,2017-07-26,2017-11-09,74.05,84.09,76,0.13344116457743538
NFLX,2017-07-28,2017-08-24,184.04,168.13,20,-0.07964747098751923
AMZN,2017-07-31,2017-08-21,987.78,953.29,16,-0.0654386102505784
FB,2017-08-01,2017-08-04,169.86,169.62,4,0.0021861152141802176
AAPL,2017-08-04,2017-09-12,156.39,160.86,27,0.03400398534421778
FB,2017-08-11,2017-10-02,168.08,169.47,36,0.012365591397849318
NFLX,2017-08-28,2017-10-17,167.12,199.48,36,0.20204880988249485
AAPL,2017-09-14,2017-09-29,158.28,154.12,12,-0.034638271218289995
BAC,2017-10-03,2017-11-03,25.86,27.82,24,0.08587041373926607
FB,2017-10-06,2018-02-07,172.23,180.18,85,0.052207428170988335
GOOG,2017-10-06,2017-10-09,978.89,977.0,2,0.007258031259020914
GOOGL,2017-10-06,2017-10-10,993.64,987.8,3,0.0026492351729108243
JPM,2017-10-16,2017-11-03,97.84,101.41,15,0.057896933027331565
AMZN,2017-10-23,2017-11-15,966.3,1126.69,18,0.14627992389944144
NFLX,2017-10-23,2017-12-08,192.47,188.54,34,-0.02894519983518773
GOOG,2017-10-24,2017-11-06,970.54,1025.9,10,0.05932159636532641
GOOGL,2017-10-24,2017-11-06,988.49,1042.68,10,0.05797836718956084
AAPL,2017-11-02,2017-11-13,168.11,173.97,8,0.04242315297501342
XOM,2017-11-06,2017-12-06,83.75,82.28,22,-0.010819908631883313
BAC,2017-11-08,2018-02-07,26.79,31.25,62,0.1497424576894768
JPM,2017-11-08,2018-02-07,97.64,112.87,62,0.14298734177215167
GOOGL,2017-11-15,2017-12-21,1036.41,1070.85,26,0.02804231788333711
AAPL,2017-11-16,2018-02-05,171.1,156.49,54,-0.07446179323397162
GOOG,2017-11-16,2017-12-21,1032.5,1063.63,25,0.04184502061885942
AMZN,2017-11-20,2017-12-06,1126.31,1152.35,12,0.019887067653201917
MSFT,2017-11-20,2018-02-07,82.53,89.61,54,0.08749999999999969
AMZN,2017-12-18,2018-02-01,1190.58,1390.0,31,0.17882524551791956
XOM,2017-12-21,2018-02-07,83.85,76.94,32,-0.07155786171111345
GOOG,2017-12-28,2018-01-31,1048.14,1169.94,23,0.11489750993453263
GOOGL,2017-12-28,2018-01-10,1055.95,1110.14,9,0.047104319939634154
NFLX,2018-01-10,2018-02-01,212.52,265.07,16,0.2663991209211216
GOOG,2018-02-05,2018-02-07,1055.8,1048.58,3,-0.05694756722726868
GOOGL,2018-02-05,2018-02-07,1062.39,1055.41,3,-0.05699606862044326
AMZN,2018-02-07,2018-02-07,1416.78,1416.78,1,-0.018061600731889893
NFLX,2018-02-07,2018-02-07,264.56,264.56,1,-0.004365497516182537
